Common Name(s),All Synonyms,Country of origin,Pedigree,Hectares cultivated (Year),Year of introduction
Barbera,"Barbera Amaro, Barber a Raspo Rosso, Barbera a Peduncolo Rosso, Barbera a Peduncolo verde, Barbera a Raspo verde, Barbera Crna, Barbera d'Asti,  Barbera dolce, Barbera fina, Barbera forte, Barbera grossa, Barbera Mercantile, Barbera Monferrato, Barbera nera, Barbera Nostrana, Barbera riccia, Barbera Rissa, Barbera rosa, Barbera vera, Barberone, Besagno,  Cosses Barbusen, Gaietto, Lombardesca, Ughetta",Italy,,"28,000 (2000)",
Barbera del Sannio,,"Italy, Campania",,,
Barbera Sarda,,"Italy, Sardinia",,,
Barsaglina,"Barsullina, Bersaglina, Massareta, Massaretta","Italy, Tuscany and Liguria",,30 (2000),
Bastardo Magarachsky,"Bastardo Magarachskii, Bastard De Magaraci, Bastard Von Magaratsch, Bastardo Magaraca, Bastardo Magarach, Bastardo Magarachsky, Bastardo Magaratchskii, Basztardo Magaracsszkij, Magarach Bastardo, Magaratch.",Ukraine,Bastardo × Saperavi,,
Beaunoir,"Beau Noir, Beaunoire, Cep Gris, Co Gris, Mourillon, Pinot D'Ai, Pinot D'Ailly, Pinot D'Orleans, Seau Gris, Sogris.",France,Heunisch Weiss × Pinot,,
Béclan,"Beclan Petit, Baccalan, Baclan, Baclans, Becclan, Beikian, Beitrian, Durau, Dureau, Duret, Margillin Petit, Petit Beclan, Petit Dureau, Petit Margillin, Rousette Noire, Saunoir, Saut Noir, Sceau Noir, Seaut Noir, Suessschwarz.",France,,,
Beichun,Bei Chun,China,Muscat Hamburg × Amurensis,,1954
Bekari,"Bekaro, Mbekari Mavro, Mbekaro, Mpekari, Mpekari Mavro, Mpekaro.",Greece,,,
Belat,,Spain,,,
Béquignol Noir,"Balouzat, Bequignaou, Bequin Rouge, Blanc Fer, Bouton Blanc, Breton, Cabernet, Camerouge, Chalosse Noir, Chalosse Noire, Chausse, Chausset, Egrenant, Embalouzat, Enrageat Rouge, Grosse Here, Here, Jurancon, Mancais Noir, Maouron, Mauron, Micardeau, Negrotte, Noir Cimrah, Noir De Cimrah, Noir De Valin, Petit Fer, Plant De Dissay, Prunalet, Raboso Piave, Sencit Gris",France,,,
Biborkadarka,"Bibor Kadarka, Biborkadarsa.",Hungary,Kadarka × Muscat Bouschet,,1948
Black Queen,"Pok Dum, Pokdum",Japan,Bailey × Golden Queen,,
Blatina,"Blarina Velika Prarnobacva, Blathina, Blatina Black, Blatina Blaue, Blatina Crna, Blatina Hercegovacka, Blatina Mala, Blatina Nera, Blatina Noir, Blatina Noire, Blatina Velika, Blatyna, Praznobacva, Praznobatchva, Stara Zilavka, Tribidrag, Tribirad, Trzhbii Drak, Zilavka Stara, Zlorod.",Bosnia & Herzegovina,,,
Blauburger,Klosterneuburg,Austria,Blauer Portugieser × Blaufränkisch,,1923
Blauer Arbst / Pinot Noir,"Pinot Noir, Aprofekete, Arbst, Arbst Blau, Arbst Blauer, Assmannshaeuser, Augustiner, Auvergnat, Auvernas, Auvernas Rouge, Auvernat, Auvernat Noir, Auxerra, Berligout, Black Burgundy, Black Morillon, Blak Burgundy, Blau Burgunder, Blauburgunder, Blauer, Blauer Augustiner, Blauer Burgunder, Blauer Claevner, Blauer Clevner, Blauer Klaevener, Blauer Klaever, Blauer Klevner, Blauer Klewner, Blauer Nuernberg, Blauer Nuernberger, Blauer Rischling, Blauer Seeklevner, Blauer Spaetburgunder, Blauer Sylvaner, Blaw Shpet Burgunder, Bodenseetraube, Bodenseetraube Blaue, Boehmischer, Bon Plant, Borgogna Nera, Borgogna Nero, Borgogna Rosso, Bourgignon, Bourgignon Noir, Bourgoignon Noir, Bourguignon Gros, Bourguignon Noir, Bourguignon Petit, Bruenlaeubler, Burgunda, Burgundac Cernii, Burgundac Crni, Burgundac Crni Pozni, Burgunder, Burgunder Blau, Burgunder Blauer, Burgunder Grosse Blaue, Burgunder Kleine Blaue, Burgunder Roter, Burgunder Schwarz, Burgundi Crni, Burgundi Mic, Burgundske Modre, Cerna Okrugla, Cerna Okrugta Banka, Cerna Ranka, Chambertin, Champagner, Cherna, Chiavenase, Chiavenna, Chpatchok, Claevner, Claevner Blau, Claevner Schwarz, Clavensis, Clevner, Cortaillod, Derice Auvernas Noir, Dickblau, Echter Schwarzblauer Klevner, Elsasser Rot, Elsasser Rother, Fin Noir, Fin Noir De Toulon, Fin Plant Dore, Formentin Noir, Fraenkische Schwarze, Franc Noiren, Franc Noirien, Franc Pineau, Franc Pinot, Francois Noir, Frischschwarzer, Fruehblaue, Fruehblauer, Fruehschwarzer, Fruhblauer, Gamais, Genetin De St. Menin, Gentil Noir, Glaevinger, Glasschwarz, Gribalet Noir, Grobes Suesschwarz, Grosse Burgunder, Grosse Fruehschwarze, Gut Blau, Gutblau, Jakabszoeloe, Karapino, Kek Burgundi, Kek Kisburgundi, Kek Klevner, Kek Rulandi, Kis Burgundi, Kis Burgundikek, Kisburgundi Kek, Kisburgundikek, Klaevner, Klaevner Schwarz, Klebrot, Klebroth, Klebrott, Kleine Burgunder, Kleiner Burgunder, Kleinrot, Kleinroth, Klevinger, Klevner, Klevner Kek, Klevner Schwarzblau, Korai Kekburgundi, Langedet, Maehrchen, Malterdinger, Maltertinger, Maria Feld, Marillon N, Massoutel, Massoutet, Maurillon, Mensois, Modra Burgunda, Modra Klevanja, Modra Klevanjka, Modra Klevanyka, Modri Pinot, Moehrchen, Mohrenkoenigin, Mohrenkoenigin Fruehblaue, Mor Burgunder, Moreote Noir, Moreotische Traube, Morillon, Morillon Noir, Nagyburgundi, Nere, Neyran, Neyron Petit, Noble, Noble Joue, Noir De Franconier, Noir De Versitch, Noir Menu, Noir Meun, Noiried, Noirien, Noirien Franc, Noirien Ternent, Noirin, Noirun, Okrugla Ranka, Ordinaerer Blauer, Ordinaerer Rother, Orleans, Petit Noir, Petit Noirin, Petit Plant Dore, Petit Verot, Pignol, Pignola, Pignolet, Pignoliga, Pignolo, Pignuola, Pimbart, Pineau, Pineau De Bourgogne, Pineau De Bourgoyne, Pineau De Chambertin, Pineau De Gevrey, Pineau Franc, Pineau Noir, Pino Black, Pino Ceren, Pino Cernii, Pino Cheren, Pino Chernyi, Pino Chernyj, Pino Corni, Pino Cornij, Pino Fran, Pino Go, Pino Negru, Pino Nero, Pino Nuar, Pino Qo, Pinot, Pinot Cernii, Pinot Clevner Cl. Maria- Feld, Pinot Crni, Pinot D'Ay, Pinot De Chambertin, Pinot De Fleury, Pinot De Gevrey, Pinot De Migraine, Pinot Droit, Pinot Fin, Pinot Franc Noir, Pinot Mare, Pinot Mariafeld, Pinot Negru, Pinot Nera, Pinot Nero, Pinot Noar, Pinot Noir Cortaillod, Pinot Noir Cortaillod 9-18, Pinot Noir Salvagnin, Pinot Salvagnin, Pinot Tinto, Plack Morillon, Plant A Bon Vin, Plant Dae, Plant De Cumieres, Plant De La Dole Noir, Plant De S. Martin, Plant Dore, Plant Fin, Plant Medaille, Plant Noble, Pynoz, Qara Pino, Raisin De Bourgogne, Raucy, Raucy Male, Roter Assmannhaeuser, Roter Assmannshaeuser, Roter Burgunder, Rother, Rother Assmannshaeuser, Rother Burgunder, Rouci, Rouci Male, Rouci Modre, Roucimodre, Rouget, Rulandske Modre, Salvagnin, Salvagnin Noir, Samoireau, Samoreau, Samtrot, Saumensois, Saumoireau, Savagin Noir, Savagnin Noir, Schurzir Riesling, Schwartz Klevner, Schwarz Traeuble, Schwarzblauer Klevner, Schwarze Fraenkische, Schwarzer, Schwarzer Assmannshaeuser, Schwarzer Burgunder, Schwarzer Champagner, Schwarzer Klaevner, Schwarzer Klevner, Schwarzer Riesling, Schwarzer Rissling, Schwarzer Suessling, Schwarzer Tokayer, Schwarzklaevner, Schwarzklevner, Schwarztraeuble, Servagnin Noir De Seyssel, Sevagnin Noir, Shpachock, Shpachok, Shpetburgunder, Spacok, Spaetburgunder, Spaetburgunder Blauer, Spaeter Burgunder, Spaetes Moehrchen, Spaetes Moerchen, Spatburgunder, Spetburgunder, Suesschwarz Grobes, Suessedel, Suessling, Suessrot, Suessroth, Suessschwarz, Suessschwarzer, Susschwarzer, Sussedel, Sussrot, Sussschwarzer, Talvagnere Rouge, Talvagnues Rouges, Ternent, Thalrother, Tinto, Traminer Blau, Traminer Schwarz, Vert Dore, Vrai Auvernas, Waltertinger.",France,,,
Blauer Wildbacher,"Wildbacher Blau, Blauer Greutler, Blauer Kracher, Dioljak, Divljak, Echter Blauer Wildbacher, Echter Wildbacher Blau, Fruehblaue, Fruehblauer Wildbacher, Graeutler, Graeutler Blauer, Grosser Mauserl, Grosses Mauserl, Gutblaue, Kauka Schlechte, Kleinblaue, Kracher Blauer, Kraeutler Blau, Mali Zherni, Maslerl, Mauserl, Mauserl Grosses, Pticnik Crni, Ptinik Crni, Schilcher, Schilchertraube, Schillertraube, Schlechte Kauka, Schlehenolauer Wildbacher, Spaete Blauer Wildbacher, Tizhnik, Vildbasske, Vranek, Vranac, Wildbacher.",Austria,,,
Blaufränkisch / Limberger,"Blanc Doux, Blau Fraenkisch, Blau Fraenkische, Blauer Lemberger, Blauer Limberger, Blaufränkisch, Blaufranchis, Blaufranchisch, Blue French, Burgund Kekfrankos, Burgund Mare, Cerne, Cerne Skalicke, Cerne Starosvetske, Cerny Muskatel, Chirokolistny, Cierny Zierfandler, Crna Frankovka, Crna Moravka, Fernon, Fraenkische, Fraenkische Schwarz, Franconia, Franconia nera, Franconia nero, Franconien bleu, Franconien noir, Frankinja, Frankinja Modra, Frankovka, Frankovka Cerna, Frankovka Crna, Frankovka Modra, Fruehschwarze, Game, Grossburgunder, Imberghem, Imbergher, Jubilaeumsrebe, Karmazin, Kekfrank, Kek Frankos, Kekfrankos, Lampart, Lemberger, Limberg,  Limberger blauer, Limberger noir, Limburske, Maehrische, Modra Frankija, Modra Frankinja, Modry Hyblink, Moravka, Moravske, Muskateller Schwarz, Nagyburgundi, Neskorak, Neskore, Neskore Cierne, Noir de Franconie, Oporto, Orna Frankovka, Portugais Lerouse, Portugais Leroux, Portugais Rouge, Portugieser Rother, Pozdni, Pozdni Skalicke Cerne, Schwarz Limberger, Schwarz Fraenkische, Schwarzer Burgunder, Schwarzgrobe, Serina, Shirokolistnyi, Sirokolidtnyj, Sirokolstnii, Starosvetske, Starovetsky Hrozen, Szeleslevelue, Teltfuertue Kekfrankos, Teltfurtu Kekfrankos, Vaghyburgundi, Velke Bugundske, Vojvodino",Austria,Gouais blanc × Frankish grapes,"3,340 (Austria), 1,729 (Germany), 1,742 (Slovakia), 8,000 (Hungary), 891 (Romania), 880 (Croatia), 127 (Italia), 30 (USA)",
Bobal,"Balau, Balauro, Benicarlo, Boal, Bobal Noir, Bobos, Carignan D'Espagne, Carignan D'Espagne A Fronton, Carignan Espagnol, Coreana, Espagnol, Folle Blanche Du Minervois, Moravio, Pobreton, Provechon, Rageno, Rajeno, Requena, Requenera, Requeno, Terret D'Espagna, Terret D'Espagne, Tinta Madrid, Tinto De Requena, Tinto De Zurra, Tonto De Zurra, Valenciana, Valenciana Tinta, Valenciana Tinto, Vinate.","Spain, Utiel-Requena",,"90,000",
Boğazkere,"Saraplik Siyah, Siyah Saraplik.","Turkey, Elazığ Province",,,
Bombino Nero,"Bambino, Buonvino, Buonvino Nero, Calatamuro Nero, Cola Tamburo Nero.",Italy,,,
Bonamico,"Buenamico, Buon Amico, Buonamico, Canaiolo Romano, Ceragia, Dorace, Durace, Giacomino, Neret, Neyret, Pulera, Sangioveto, Tinto, Uva Di Palaia, Uva Rosa.","Italy, Tuscany",,100 (2000),
Bonarda Piemontese,"Balsamina, Banarda Di Chieri, Bonarda, Bonarda A Grandes Grappes, Bonarda Del Monferrato, Bonarda Dell' Astigiano, Bonarda Dell' Astigiano E Monferrato, Bonarda Di Asti, Bonarda Di Chieri, Bonarda Di Piemonte, Bonarda Di Pyemont, Bonarda Du Piemont, Bonarda Nera, Bonarda Nero, Driola, Kanaiolo Krasnyi.","Italy, Piedmont",,,
Bonda,,"Italy, Valle d'Aosta",,3 (2000),
Bondola,"Bistershna Zhernina, Bistriska Crnina, Blaustiel Blau, Bonda, Bondola Nera, Bondoletta, Brieger, Briegler, Bundula, Chailloche, Longobardo, Mohrenkoenig.","Switzerland, Ticino",,,
Bondoletta,Bondola,Switzerland,Bondola × Completer,,
