variety,type
Uva di Barletta,red
Troiano,red
Tranese,red
Uva della Marina.,red
Uvalino,red
Uva Rara,red
Uva Tosca,red
Vaccarese,red
Vaccarèse,red
Brun Argenté,red
Valdiguié,red
Brocol,red
Napa Gamay,red
Gamay 15,red
Valentino nero,red
Vermentino nero,red
Vespolina,red
Vien de Nus,red
Volidza,red
Volitsa,red
Vranac,red
Vuillermin,red
Wildbacher,red
Blauer Wildbacher,red
Wrothham Pinot,red
Xinomavro,red
Žametovka,red
Zinfandel,red
Crljenak Kaštelanski,red
Primitivo,red
Zweigelt,red
Zweigeltrebe,red
Rotburger,red
Cabernet,red
